;6209100;7112000;4729699;4789099;9430800;7319002;5611201;4781400;8211300;7490104;6201501;4774100;6462000;9602501;4120400;4110700;8230001;4520001;8630504;6810201;8112500;4755502;4321500;7711000;4930202;1412601;6822600;8599604;4712100;5620104;7111100;4511102;4530703;4744099;5611203;6920601;1091102;9602502;4541206;8219999;4619200;8630503;4772500;4771701;9313100;7020400;4752100;6821801;7911200;4789004;6622300;4751201;8610102;4723700;8550301;8513900;9491000;7319003;8291100;9511800;6204000;8650003;8650004;4754701
Zona_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Zona_2;1;2;0;1;2;4;4;6;9;0;1;0;0;1;1;0;1;3;1;1;1;2;1;3;0;3;0;0;2;3;0;0;1;0;0;2;0;0;0;1;5;0;0;0;2;0;0;5;1;1;0;0;0;1;0;0;1;0;1;0;0;3;0;1
Zona_3;0;2;0;0;0;1;3;1;1;0;0;0;0;0;2;2;1;0;0;0;0;0;1;0;0;0;0;0;4;3;0;0;2;0;1;2;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;2;1;1;0;0;0;0;0;0;1
Zona_4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zona_5;1;0;0;1;3;0;1;2;1;0;0;0;0;1;2;0;0;3;4;0;0;0;0;1;1;1;0;0;0;0;0;0;2;0;2;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0
Zona_6;1;3;0;0;2;1;1;1;2;1;1;0;0;0;1;1;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1;2;0;0;0;0;0;0;0;0;1;1;1;0;1
Zona_7;2;0;0;0;2;1;1;0;3;1;0;2;0;2;1;0;0;0;1;0;1;0;3;1;0;2;0;2;0;0;0;2;0;0;1;1;2;0;4;0;0;1;1;0;0;1;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0
Zona_8;0;0;0;0;2;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Zona_9;0;2;0;0;0;1;5;1;3;0;0;0;0;0;2;0;0;0;1;0;2;0;0;1;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1
Zona_10;0;1;1;0;0;0;2;1;5;0;3;0;1;2;2;1;2;0;0;0;1;0;1;2;0;1;1;5;0;0;0;3;2;0;2;1;2;0;0;0;0;2;0;0;0;2;0;3;0;1;1;0;0;0;1;0;0;2;0;0;1;1;0;0
Zona_11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Zona_12;0;0;1;0;0;2;0;3;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1
Zona_13;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zona_14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zona_15;0;0;0;1;0;1;1;8;4;0;0;1;1;0;1;0;0;2;0;0;1;2;2;0;0;2;0;2;3;0;0;0;0;1;2;2;0;0;0;2;1;1;0;0;1;0;0;0;1;1;0;0;1;0;1;0;0;1;0;0;0;0;1;0
Zona_16;0;2;2;0;0;0;7;4;6;0;1;0;0;0;4;0;0;0;1;0;1;0;4;0;0;8;2;2;1;0;0;1;1;0;0;3;0;0;1;0;1;0;2;0;2;1;1;0;2;2;0;0;1;0;1;0;0;2;1;0;0;0;0;1
Zona_17;2;3;1;0;0;0;1;4;6;0;0;2;1;0;4;1;1;1;4;1;1;0;0;2;0;2;1;2;0;1;0;0;1;0;4;6;2;4;0;2;0;8;0;1;3;7;0;3;0;1;3;1;2;1;2;2;0;3;0;1;2;1;0;0
Zona_18;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
