;CNPJ BÁSICO;NOME FANTASIA;CNAE FISCAL PRINCIPAL;EMDERECO COMPLETO;ID;LAT;LON;Zonas;TIPO
16;15641520;SPETACULLARE SALAO DE BELEZA EIRELI;9602501;WASHINGTON SOARES ,4835 - JOSE DE ALENCAR ,FORTALEZA - CE;10124;-3.80251465;-38.47904703555936;Zona_318;beleza studio barbearia
17;41567661;CONCEITO VIVER;4120400;GERVASIO GURGEL ,35 - CENTRO ,FORTALEZA - CE;3029;-3.7324902;-38.5220317;Zona_317;construcoes engenharia construtora
18;44338004;ER CONSTRUCOES E EMPREENDIMENTOS IMOBILIARIOS SPE LTDA;4110700;COMODORO ESTACIO BRIGIDO ,SN - ENGENHEIRO LUCIANO CAVALCANTE ,FORTALEZA - CE;8118;-3.7763208;-38.4902196;Zona_330;empreendimentos incorporacoes ltda
19;47018283;KAMIBAA EXPRESS SUL;5611201;EDILSON BRASIL SOARES ,1899 - EDSON QUEIROZ ,FORTALEZA - CE;2093;-3.78825915;-38.46899330804003;Zona_212;restaurante pizzaria pizza
20;12191978;IDEAIS PRODUCOES;8230001;PERO COELHO ,428 - CENTRO ,FORTALEZA - CE;13152;-3.7338364;-38.5211092;Zona_317;eventos producoes servicos
21;4245883;SILVIO CAR;4520001;CORONEL NUNES DE  MELO ,1583 - RODOLFO TEOFILO ,FORTALEZA - CE;9948;-3.7512603;-38.554981;Zona_312;auto car center
22;45826053;INSTITUTO VERDE MEL;9430800;SENADOR POMPEU ,834 - CENTRO ,FORTALEZA - CE;8449;-3.7265218;-38.5295116;Zona_227;instituto associacao escolar
23;40291892;ESPACO HARMONIZE;8630504;DESEMBARGADOR MOREIRA ,1300 - ALDEOTA ,FORTALEZA - CE;7716;-3.7372857;-38.4994708;Zona_207;odontologia clinica odonto
24;12281604;C.Z IMOVEIS;6810201;OSVALDO CRUZ ,01 - MEIRELES ,FORTALEZA - CE;12962;-3.7266741;-38.4974318;Zona_290;empreendimentos imoveis imobiliarios
25;17305801;CABANA DIGITAL & KIFOTO EVENTOS;6201501;TOMAS ACIOLI ,1493 - DIONISIO TORRES ,FORTALEZA - CE;12594;-3.74645715;-38.50445603770756;Zona_220;tecnologia software solucoes
26;2734542;SAINT MARTIN FLAT SERVICE;8112500;ABOLICAO ,3340 - MEIRELES ,FORTALEZA - CE;7500;-3.7273618;-38.503358135696025;Zona_278;condominio edificio residencial
27;8400717;CONDOMINIO KALANIOT;8112500;TIANGUA ,457 - VILA UNIAO ,FORTALEZA - CE;7354;-3.7682082;-38.5414153;Zona_261;condominio edificio residencial
28;7226165;TUDO AQUI;4755502;MARIO MAMEDE ,943 - FATIMA ,FORTALEZA - CE;16153;-3.7549561;-38.524779;Zona_158;variedades aviamentos presentes
29;8755709;FRANCISCO PORTELA SILVA;7490104;JAIME BENEVOLO ,1570 - FATIMA ,FORTALEZA - CE;11419;-3.745746;-38.53012624454605;Zona_19;negocios saude gestao
30;33888589;BS SERVICOS ELETRICOS;4321500;TUPI ,1802 - JOAO XXIII ,FORTALEZA - CE;12118;-3.772502;-38.5855644;Zona_168;solar servicos engenharia
31;17056324;FZ CONSTRUCOES;4120400;TULIPA NEGRA ,1995 - PARQUE SANTA ROSA ,FORTALEZA - CE;3173;-3.8182428;-38.5994303;Zona_18;construcoes engenharia construtora
32;52951774;PJ SERVICOS;7711000;DOM LUIS ,1200 - ALDEOTA ,FORTALEZA - CE;12454;-3.7362805;-38.4907015;Zona_68;car rent locacoes
