CNPJ BÁSICO;NOME FANTASIA;CNAE FISCAL PRINCIPAL;EMDERECO COMPLETO;ID
18662479;AILTON MEDEIROS;8211300;FRANKLIN TAVORA ,700 - CENTRO ,FORTALEZA - CE;49
18745699;MLD GESTAO EMPRESARIAL;8211300;WASHINGTON SOARES ,1400 - ENGENHEIRO LUCIANO CAVALCANTE ,FORTALEZA - CE;50
18857731;CONSP_ CONTABILIDADE;8211300;JULIO BRAGA ,914 - JOAO XXIII ,FORTALEZA - CE;51
11416883;GRACOM;8211300;FLORIANO PEIXOTO ,484 - CENTRO ,FORTALEZA - CE;52
21112582;FENERGY SERVICOS;8211300;TREZE DE MAIO ,853 - FATIMA ,FORTALEZA - CE;53
21975747;SKY COWORKING;8211300;NUNES VALENTE ,980 - ALDEOTA ,FORTALEZA - CE;54
23626952;RESERVA COWORKING;8211300;MONSENHOR OTAVIO DE CASTRO ,435 - FATIMA ,FORTALEZA - CE;55
22613918;GESTCON;8211300;BENI CARVALHO ,653 - ALDEOTA ,FORTALEZA - CE;56
24011052;ADL TRABALHISTA;8211300;FRANCISCO SEGUNDO DA COSTA ,127 - EDSON QUEIROZ ,FORTALEZA - CE;57
25086783;EXATA;8211300;PEDRO BORGES ,30 - CENTRO ,FORTALEZA - CE;58
25450596;REDE SAUDE;8211300;WASHINGTON SOARES ,909 - EDSON QUEIROZ ,FORTALEZA - CE;59
13938373;L A LIMA AGUIAR PROMOTORA DE CREDITO;8211300;BARAO DO RIO BRANCO ,1071 - CENTRO ,FORTALEZA - CE;60
23073383;CARVALHO SA I;8211300;SALVADOR MENDONCA ,530 - PARQUE MANIBURA ,FORTALEZA - CE;61
18171290;G E R SERVICOS;8211300;QUEIROS RIBEIRO ,534 - MONTESE ,FORTALEZA - CE;62
18563318;DELIVERY MENU;8211300;OSVALDO CRUZ ,2085 - DIONISIO TORRES ,FORTALEZA - CE;63
9141818;INOVARE NEGOCIOS E SERVICOS;8211300;DESEMBARGADOR MOREIRA ,2120 - ALDEOTA ,FORTALEZA - CE;64
18380442;DIRECT;8211300;PEDRO SAMPAIO ,193 - PASSARE ,FORTALEZA - CE;65
24298522;RODRIGUES & MOURA COMPUTACAO;8211300;JOAQUIM MAGALHAES ,1207 - JOSE BONIFACIO ,FORTALEZA - CE;66
9553416;C M ALMEIDA SERVICOS;8211300;DIVA ,30 - PAUPINA ,FORTALEZA - CE;67
11823944;BIRZAI;8211300;RODRIGUES JUNIOR ,380 - CENTRO ,FORTALEZA - CE;68
19282242;BRACAN CONSULTORIA E TREINAMENTO LTDA;8211300;TIBURCIO CAVALCANTI ,2492 - DIONISIO TORRES ,FORTALEZA - CE;69
25105476;A MOURA PAPEL DE PAREDE;8211300;SENADOR FERNANDES TAVORA ,6770 - JOQUEI CLUBE ,FORTALEZA - CE;70
21208445;PROGOV - GESTAO PUBLICA;8211300;WASHINGTON SOARES ,55 - EDSON QUEIROZ ,FORTALEZA - CE;71
10432494;HPRINT ESTAMPARIA;8211300;DIOGO CORREIA ,313 - JOAO XXIII ,FORTALEZA - CE;72
9031586;PERFIL EVENTOS;8211300;SENADOR VIRGILIO TAVORA ,1500 - ALDEOTA ,FORTALEZA - CE;73
26034349;RF SERVICOS ADMINISTRATIVOS;8211300;BARBOSA DE FREITAS ,1741 - ALDEOTA ,FORTALEZA - CE;74
26052749;FRACTAL REALITY ACADEMY AND COMPLEXITY THEORY FRACTAL;8211300;PADRE ANTONIO TOMAS ,630 - ALDEOTA ,FORTALEZA - CE;75
26308770;SARAIVA LEAO ASSESSORIA E CALCULOS;8211300;PADRE JANUARIO CAMPOS ,235 - PARQUE MANIBURA ,FORTALEZA - CE;76
