CNPJ BÁSICO;NOME FANTASIA;CNAE FISCAL PRINCIPAL;EMDERECO COMPLETO;ID;LAT;LON
42478964;BRASIL SOLUTION;8211300;ANTENOR ROCHA ALEXANDRE ,101 - PARQUE MANIBURA ,FORTALEZA - CE;176;-3.79222215;-38.4853659875
30810771;MDK;1412601;CONSELHEIRO ARAUJO LIMA ,1000 - DOM LUSTOSA ,FORTALEZA - CE;4244;-3.7532878;-38.5845805
32200981;MBF HOLDING CENTER PARTICIPACOES;6462000;BARAO DO RIO BRANCO ,1224 - CENTRO ,FORTALEZA - CE;11090;-3.7289792;-38.5294059
43866713;REGIS TAVARES GESTAO IMOBILIARIA;6822600;PEREIRA FILGUEIRAS ,2020 - ALDEOTA ,FORTALEZA - CE;13684;-3.7308005;-38.5053975
37706367;BAGAGEM TREND;1412601;PERU ,1270 - ITAOCA ,FORTALEZA - CE;4256;-3.772783;-38.5510301
17801040;EIRLES COACHING E DESEVOLVIMENTO HUMANO;8599604;DEPUTADO JOAO LOPES ,64 - CENTRO ,FORTALEZA - CE;5856;-3.72594175;-38.522435618721474
12166259;PIZZARIA DORO LTDA;5611201;PEREIRA FILGUEIRAS ,564 - CENTRO ,FORTALEZA - CE;1905;-3.7268877;-38.5177846
1291549;FERA DA ONDA;1412601;WENEFRIDO MELO ,259 - MONDUBIM ,FORTALEZA - CE;4145;-3.8095257;-38.5762778
8749280;RESIDENCIAL JOSE ALVINO DANTAS;8112500;ANTONIO ALEXANDRINO DOS REIS ,237 - PASSARE ,FORTALEZA - CE;7214;-3.8012189;-38.5379006
10771257;SOLUTION ENGENHARIA & CONSULTORIA;7112000;PADRE ANTONIO TOMAS ,4735 - COCO ,FORTALEZA - CE;6803;-3.7438445;-38.4879414
1954921;RESTAURANTE NOSSA SENHORA APARECIDA;4712100;BARAO DO RIO BRANCO ,1865 - FATIMA ,FORTALEZA - CE;3779;-3.7453229;-38.5341934
42941243;WEB SUSHI;5620104;MARIO ALENCAR ARARIPE ,2284 - JOSE DE ALENCAR ,FORTALEZA - CE;14911;-3.8094166;-38.4770223
53060016;DENISE BRINGEL ARQUITETURA;7111100;DESEMBARGADOR MOREIRA ,1300 - ALDEOTA ,FORTALEZA - CE;15883;-3.7372857;-38.4994708
73643512;FABIANO AUTOREPASSE;4511102;ALBERTO CRAVEIRO ,3695 - BOA VISTA ,FORTALEZA - CE;11960;-3.7876106;-38.5173076
803380;AUTO ELETRICA EDVALDO;4530703;RUI BARBOSA ,3260 - JOAQUIM TAVORA ,FORTALEZA - CE;9071;-3.7461222;-38.5126943
27048273;RECRUTAH CURSOS;8599604;DA UNIVERSIDADE ,3239 - BENFICA ,FORTALEZA - CE;5573;-3.7440363;-38.54156947223319
50857264;CN ODONTOLOGIA;8630504;BARAO DE ARATANHA ,186 - CENTRO ,FORTALEZA - CE;7648;-3.7348494;-38.5270263
45300475;VILLAZULLI;8211300;PERO COELHO ,196 - CENTRO ,FORTALEZA - CE;866;-3.73312635;-38.523121187133256
49240174;BISTRO 2143;5611201;SANTOS DUMONT ,2143 - ALDEOTA ,FORTALEZA - CE;2108;-3.7339018;-38.5048506
